position,artist_name,song_name,days,top_10_x_times,peak_position,peak_position_x_times,peak_streams,total_streams,track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
5926,IVE ,After LIKE,5,0,83,0,317433,1413975,After LIKE,IVE,1,2022,8,22,767,12,265548837,20,129,11,0,12,125,,Major,68,80,92,10,0,9,12,https://i.scdn.co/image/ab67616d0000b27387f53da5fb4ab1171766b2d5
5947,JIN ,The Astronaut,4,0,54,0,506707,1392323,The Astronaut,Jin,1,2022,10,28,481,9,203436468,10,100,15,1,27,125,F,Major,54,22,76,0,0,14,3,https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a
5991,Rauw Alejandro ,PUNTO 40,5,0,114,0,328540,1360333,PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,304079786,54,32,66,2,0,107,,Major,87,20,83,0,4,31,9,Not Found
6069,Lewis Capaldi ,Forget Me,5,0,97,0,328186,1305832,Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309,93,95,84,9,202,102,C#,Minor,67,72,74,30,0,36,4,https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952
6100,Eminem ,Stan,5,0,114,0,280639,1286083,Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,83,63,"4,180",0,0,80,F#,Minor,78,53,74,4,0,45,21,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42
6131,Jung Kook ,Stay Alive (Prod. SUGA of BTS),4,0,44,0,453699,1268123,Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,4,113,20,0,1,130,D,Minor,51,50,76,30,0,10,7,https://i.scdn.co/image/ab67616d0000b2738916a2bb404bed6755f2bbbd
6149,David Kushner ,Miserable Man,5,0,112,0,281200,1254914,Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13,0,32,1,0,110,A#,Major,63,31,35,93,0,29,3,https://i.scdn.co/image/ab67616d0000b273e3884b7043aa68c264faff71
6207,Stray Kids ,MANIAC,5,0,106,0,295143,1207733,MANIAC,Stray Kids,1,2022,3,18,651,0,212234990,6,188,20,0,0,120,C#,Major,58,71,80,15,0,7,41,https://i.scdn.co/image/ab67616d0000b2733613e1e0d35867a0814005a9
6342,KAROL G ,CAIRO,4,0,124,0,330321,1132201,CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
6547,Bruno Mars ,Just the Way You Are,12,0,90,0,207621,1016697,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
6663,Fuerza Regida ,Bebe Dame,3,0,72,0,364028,943686,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5,https://i.scdn.co/image/ab67616d0000b2735f3aef5159749e4b61686670
6708,Foudeqush ,Con La Brisa,3,0,111,0,325690,914742,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,0,114,D,Minor,62,25,44,51,33,14,3,Not Found
6798,Jung Kook ,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],3,0,90,0,321857,866620,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833,11,78,35,0,21,115,,Major,71,34,88,16,0,44,4,Not Found
6805,Jnr Choi ,TO THE MOON,4,0,171,0,230106,864655,TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,44,0,159,0,0,144,D,Major,74,39,65,5,1,11,35,https://i.scdn.co/image/ab67616d0000b2739af8418ffb638b3306a07714
6903,BTS ,Born Singer,2,0,38,0,526175,807290,Born Singer,BTS,1,2022,6,10,279,0,79095270,0,18,6,0,0,158,G#,Minor,60,68,84,4,0,24,11,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
6922,Fireboy DML ,Peru,4,0,173,0,202580,800094,Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,60,17,154,0,22,108,G,Minor,96,71,42,57,0,8,9,Not Found
6937,Calvin Harris ,We Found Love,10,0,168,0,90629,793648,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46
7006,BTS ,For Youth,2,0,47,0,498710,769634,For Youth,BTS,1,2022,6,10,327,0,114546317,5,40,12,0,0,117,D,Major,63,29,51,43,0,25,4,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
